Year,Units,Value
2011,under 5 overweight,11.8
2012,under 5 overweight,14.8
2013,under 5 overweight,12.0
2014,under 5 overweight,8.8
2015,under 5 overweight,9.0
2016,under 5 overweight,29.5
2017,under 5 overweight,12.4
2018,under 5 overweight,7.1
