Year,Units,Value
,Percent by gender,
2017.0,Percent by gender,8.5
2017.0,Percent by age,8.5
2016.0,Percent by gender,9.0
2016.0,Percent by age,9.0
2015.0,Percent by gender,9.4
2015.0,Percent by age,9.4
2014.0,Percent by gender,9.5
2014.0,Percent by age,9.5
2013.0,Percent by gender,9.5
2013.0,Percent by age,9.5
2012.0,Percent by gender,8.9
2012.0,Percent by age,8.9
