Year,Units,Value
2011,Number of deaths,58356.0
2011,Rate per 1000 deaths,
2012,Number of deaths,58675.0
2012,Rate per 1000 deaths,
2013,Number of deaths,59883.0
2013,Rate per 1000 deaths,
2014,Number of deaths,58786.0
2014,Rate per 1000 deaths,
2015,Number of deaths,62408.0
2015,Rate per 1000 deaths,
2016,Number of deaths,63185.0
2016,Rate per 1000 deaths,
2017,Number of deaths,63792.0
2017,Rate per 1000 deaths,
