Year,Units,Value
2018,By Gender,17.9
2018,By Age Group,17.9
2018,By Race/Ethnicity,17.9
2015,By Gender,15.9
2015,By Age Group,15.9
2015,By Race/Ethnicity,15.9
2011,By Gender,15.4
2011,By Age Group,15.4
2011,By Race/Ethnicity,15.4
