Year,Units,Value
2010,Dollars ($B),7.28
2011,Dollars ($B),7.2
2012,Dollars ($B),7.45
2013,Dollars ($B),7.78
2014,Dollars ($B),7.07
2015,Dollars ($B),7.42
2016,Dollars ($B),8.58
2017,Dollars ($B),8.78
2018,Dollars ($B),9.29
2019,Dollars ($B),9.9
2020,Dollars ($B),10.65
