Year,Units,Value
2013,Fine Particulates PM2.5,11.14
2014,Fine Particulates PM2.5,11.54
2015,Fine Particulates PM2.5,10.79
2016,Fine Particulates PM2.5,10.63
2017,Fine Particulates PM2.5,11.3
2013,Fine Particulates PM10 Sulfate,4.94
2014,Fine Particulates PM10 Sulfate,7.2
2015,Fine Particulates PM10 Sulfate,8.68
2016,Fine Particulates PM10 Sulfate,6.55
2017,Fine Particulates PM10 Sulfate,4.27
