Year,Value
2009-2010,6884.79
2010-2011,6749.23
2011-2012,6871.56
2012-2013,7246.12
2013-2014,7685.51
2014-2015,8122.94
2015-2016,8582.56
2016-2017,8776.96
2017-2018,9292.13
2018-2019,9899.77
2019-2020,10647.96
