Year,Units,Value
2019,High School Students,1043
2019,High School Students,1043
2019,High School Students,1043
2017,High School Students,1155
2017,High School Students,1155
2017,High School Students,1155
2015,High School Students,1980
2015,High School Students,1980
2015,High School Students,1980
2013,High School Students,1372
2013,High School Students,1372
2013,High School Students,1372
2011,High School Students,1470
2011,High School Students,1470
2011,High School Students,1470
2009,High School Students,1641
2009,High School Students,1641
2009,High School Students,1641
