Year,Units,Value
2012,By Gender,22
2012,By Race/Ethnicity,22
2013,By Gender,18
2013,By Race/Ethnicity,18
2014,By Gender,21
2014,By Race/Ethnicity,21
2015,By Gender,20
2015,By Race/Ethnicity,20
2016,By Gender,19
2016,By Race/Ethnicity,19
