Year,Units,Value
2019,Council Seats,15
2018,Council Seats,15
2017,Council Seats,15
2016,Council Seats,15
2015,Council Seats,15
2014,Council Seats,15
2013,Council Seats,15
2012,Council Seats,15
2011,Council Seats,15
