Year,Units,Value
2016-2017,Percentage of Total Jobs,11.7
2016,Percentage of Total Jobs,11.6
2015,Percentage of Total Jobs,11.4
2013-2014,Percentage of Total Jobs,10.1
2012-2013,Percentage of Total Jobs,10.9
2016-2017,Number of Jobs,515992.0
2016,Number of Jobs,505492.0
2015,Number of Jobs,466608.0
2013-2014,Number of Jobs,453600.0
2012-2013,Number of Jobs,423358.0
2016-2017,Year Over Year Jobs Growth Rate (%),2.0
2016,Year Over Year Jobs Growth Rate (%),8.0
2015,Year Over Year Jobs Growth Rate (%),3.0
2013-2014,Year Over Year Jobs Growth Rate (%),7.0
2012-2013,Year Over Year Jobs Growth Rate (%),5.0
