Year,Units,Value
2015,Recycling tonnage,37160.0
2015,Recycling rate,14.7
2016,Recycling tonnage,222035.0
2016,Recycling rate,14.3
2017,Recycling tonnage,219396.0
2017,Recycling rate,13.8
2018,Recycling tonnage,206390.0
2018,Recycling rate,13.1
